Day,Hour,PCB
24/08/2021,09,"170,15"
24/08/2021,10,"256,65"
24/08/2021,11,"251,43"
24/08/2021,12,"246,50"
24/08/2021,13,"254,87"
24/08/2021,14,"175,53"
24/08/2021,15,"176,01"
24/08/2021,16,"178,65"
24/08/2021,17,"178,92"
24/08/2021,18,"271,92"
24/08/2021,19,"275,94"
24/08/2021,20,"281,69"
24/08/2021,21,"283,79"
24/08/2021,22,"189,20"
24/08/2021,23,"186,42"
25/08/2021,00,"145,67"
25/08/2021,01,"141,04"
25/08/2021,02,"138,80"
25/08/2021,03,"136,30"
25/08/2021,04,"138,64"
25/08/2021,05,"145,41"
25/08/2021,06,"149,79"
25/08/2021,07,"148,23"
25/08/2021,08,"183,12"
25/08/2021,09,"182,25"
25/08/2021,10,"273,72"
25/08/2021,11,"272,87"
25/08/2021,12,"273,33"
25/08/2021,13,"273,67"
25/08/2021,14,"181,01"
25/08/2021,15,"180,63"
25/08/2021,16,"180,70"
25/08/2021,17,"180,93"
25/08/2021,18,"276,01"
25/08/2021,19,"279,43"
25/08/2021,20,"286,51"
25/08/2021,21,"292,67"
25/08/2021,22,"193,71"
25/08/2021,23,"188,54"
26/08/2021,00,"156,30"
26/08/2021,01,"155,50"
26/08/2021,02,"154,30"
26/08/2021,03,"152,73"
26/08/2021,04,"152,48"
26/08/2021,05,"153,18"
26/08/2021,06,"154,97"
26/08/2021,07,"154,04"
26/08/2021,08,"189,56"
26/08/2021,09,"187,85"
26/08/2021,10,"279,82"
26/08/2021,11,"277,06"
26/08/2021,12,"277,82"
26/08/2021,13,"279,86"
26/08/2021,14,"188,00"
26/08/2021,15,"185,30"
26/08/2021,16,"186,24"
26/08/2021,17,"185,76"
26/08/2021,18,"280,45"
26/08/2021,19,"285,20"
26/08/2021,20,"288,06"
26/08/2021,21,"292,72"
26/08/2021,22,"197,59"
26/08/2021,23,"192,39"
27/08/2021,00,"158,11"
27/08/2021,01,"156,07"
27/08/2021,02,"154,24"
27/08/2021,03,"152,92"
27/08/2021,04,"152,43"
27/08/2021,05,"151,81"
27/08/2021,06,"152,71"
27/08/2021,07,"152,29"
27/08/2021,08,"187,68"
27/08/2021,09,"185,88"
27/08/2021,10,"277,26"
27/08/2021,11,"277,20"
27/08/2021,12,"278,17"
27/08/2021,13,"277,81"
27/08/2021,14,"184,18"
27/08/2021,15,"169,84"
27/08/2021,16,"171,69"
27/08/2021,17,"169,38"
27/08/2021,18,"265,76"
27/08/2021,19,"281,34"
27/08/2021,20,"286,15"
27/08/2021,21,"288,27"
